S.No.,Platform,Platform Links,Past Status,Commited,Drafted,Published,Content Created,Platform Category,Primary Content Types
,Website,https://wilmingtonfoods.com/,Already in Place,--,--,--,,Digital Identity,
1,Website- blogs,https://wilmingtonfoods.com/good-to-read/,Active,50,,,https://docs.google.com/document/d/13JSIXHTsARsDDTkbEegV3VN3vpvBaldHqa9XLQjTb1c/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
2,Google Business,,Not Active,100,,,https://docs.google.com/document/d/13CfHO2BSMQ-hIZ-Ix05vzKa6c02Cq1zoxN4TlquH7Sw/edit?usp=drive_link,Local Business,"Business Info, Reviews, Local Posts"
3,Linkedin,https://www.linkedin.com/company/wilmington-foods/,Active,45,,,https://docs.google.com/document/d/1nMDbcpbB0bQ90P8guHZE3iy6m827Jcve4DqV3uJYWFU/edit?usp=drive_link,Professional Network,"Articles, Company Updates, Industry News"
4,YouTube,,Not Active,5,,,https://drive.google.com/drive/folders/1VjLK1PtsG1A4cdGsDmRWRdNkr3AJA2Md?usp=drive_link,Long-Form Video,"Long Videos, Tutorials, Vlogs"
5,Tiktok,,Not Active,10,,,,Short-Form Video,"Short Videos, Challenges, Trends"
6,Instagram,https://www.instagram.com/wilmingtonfoods/,Active,180,,,https://docs.google.com/document/d/1wbCr8wavITL10BnEAdURYDKzqgsIEbPnoyo6vjnD9co/edit?usp=drive_link,Visual Content,"Images, Stories, Reels, IGTV"
7,PinInterest,,Not Active,180,,1,https://docs.google.com/document/d/1qmdzoOdBIFu-ZKsmVfg85ugij4isTlN7rzeMRp3pFOU/edit?usp=drive_link,Visual Content,"Infographics, Product Images, Boards"
8,X (Twitter),https://x.com/WilmingtonFoods,Active,180,,1,https://docs.google.com/document/d/106-J7VxbGOcmcUYL32L4Wx9Cefk8FawMA0Vi9rbHITI/edit?usp=drive_link,Real-Time Social,"Real-time Updates, News, Discussions"
9,Facebook,https://www.facebook.com/WilmingtonFoods/,Active,180,,,https://docs.google.com/document/d/1cw5TJhTsuIbNSEkMYGp6xrhHBTPQi6J1QNGKrE_97fU/edit?usp=drive_link,Social Community,"Mixed Content, Community Posts, Events"
10,Medium,,Not Active,30,,2,https://docs.google.com/document/d/1zxVTTTxG3-M5NIQJwElBlmD9kusruLawBJHvpsc8a5E/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
11,Threads,,Not Active,30,,,https://docs.google.com/document/d/16rUK1zYdRsW2OcvCpcxIHyYNfF2dPL9fVIvoUkm_pIw/edit?usp=drive_link,Micro-Blogging,"Short Posts, Real-time Updates"
12,Tumblr,,Active,30,,1,,,